Exercise Name,Exercise Type,Target Muscle Groups,Movement Pattern,Exercise Difficulty/Intensity,Equipment Required,Exercise Form and Technique,Exercise Modifications and Variations,Safety Considerations,Primary Goals,Exercise Dynamics,Exercise Sequence,Exercise Focus,Agonist Muscles,Synergist Muscles,Antagonist Muscles,Stabilizer Muscles
Seated Barbell Shoulder Press,Strength,Shoulders,Push,Intermediate,Barbell,Sit on a bench with back support and press the barbell overhead.,Can be done standing for more core engagement.,Avoid locking your elbows to prevent joint strain.,Build shoulder strength and size.,Slow and controlled.,Main workout,Strength,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Scapular Stabilizers"
Dumbbell Goblet Squat,Strength,Legs,Squat,Beginner,Dumbbell,Hold a dumbbell close to your chest and perform a squat.,Can be done with kettlebell.,Keep your back straight and knees behind toes.,Build leg strength.,Controlled descent and ascent.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Lower Back"
Curtsy Lunge,Strength,Legs,Lunge,Intermediate,Bodyweight or Dumbbells,Step one leg behind and across the other leg and bend your knees.,Can be done with added weights for more intensity.,Maintain balance and avoid leaning forward.,Strengthen legs and glutes.,Controlled and steady.,Main workout,Stability,Gluteus Medius,"Quadriceps, Hamstrings",Adductors,"Core, Ankle Stabilizers"
Medicine Ball Rotational Throw,Strength,Core,Rotational,Intermediate,Medicine Ball,Stand sideways to a wall and throw the ball with a rotational movement.,Use a lighter ball if needed.,Engage your core to protect your back.,Improve rotational power and core strength.,Explosive.,Main workout,Power,Obliques,"Rectus Abdominis, Erector Spinae",Opposing Obliques,"Core, Lower Body Stabilizers"
5 Dot Drills,Cardio,Full Body,Agility,Intermediate,,Jump between five dots on the ground in a specific pattern.,Increase speed for more intensity.,Ensure the surface is non-slip.,Improve agility and coordination.,Quick and precise.,Warm-up,Agility,Calves,"Quads, Glutes",,"Core, Ankle Stabilizers"
Medicine Ball Overhead Throw,Strength,Shoulders,Push,Intermediate,Medicine Ball,Throw a medicine ball overhead with both hands.,Use a lighter ball if needed.,Ensure a clear area around you to avoid injury.,Build shoulder strength and power.,Explosive.,Main workout,Power,Deltoids,"Triceps, Upper Chest",Latissimus Dorsi,"Core, Lower Body Stabilizers"
High Knee Lunge on Bosu Ball,Balance,Legs,Lunge,Intermediate,Bosu Ball,Perform lunges with high knees on a Bosu ball.,Perform without the Bosu ball for lower difficulty.,Maintain balance to avoid falls.,Improve leg strength and balance.,Controlled.,Main workout,Stability,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Standing Leg Circles,Balance,Legs,Stability,Beginner,,Stand on one leg and perform circles with the other leg.,Hold onto a support if needed.,Maintain core engagement for balance.,Improve balance and leg strength.,Smooth and steady.,Warm-up,Stability,Hip Flexors,"Quadriceps, Glutes",Hamstrings,"Core, Ankle Stabilizers"
Static Lunge,Strength,Legs,Lunge,Beginner,,Step one leg forward and lower your body into a lunge position.,Hold weights for added intensity.,Ensure knees do not go past toes.,Build leg strength and stability.,Controlled descent and ascent.,Main workout,Strength,Quadriceps,"Glutes, Hamstrings",Hip Flexors,"Core, Ankle Stabilizers"
Navy Seal Burpee,Strength,Full Body,Compound,Advanced,,Perform a burpee with a push-up and a knee tuck.,Perform regular burpees for lower intensity.,Ensure proper form to avoid injury.,Build full body strength and endurance.,Explosive.,Main workout,Power,"Pectorals, Deltoids","Triceps, Quadriceps",Latissimus Dorsi,"Core, Scapular Stabilizers"
